ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO
degradacao,11,2022,Landsat-8,MT,0.77,Castanheira
degradacao,11,2022,Landsat-8,PA,0.59,Novo Progresso
degradacao,11,2022,Landsat-8,PA,0.59,Altamira
degradacao,11,2022,Landsat-8,MT,0.51,Juína
degradacao,11,2022,Landsat-8,AC,0.46,Rio Branco
degradacao,11,2022,Landsat-8,MT,0.39,Nova Maringá
degradacao,11,2022,Landsat-8,MT,0.36,Aripuanã
degradacao,11,2022,Landsat-8,AM,0.35,Boca do Acre
degradacao,11,2022,Landsat-8,AM,0.28,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.25,Nova Maringá
degradacao,11,2022,Landsat-8,AM,0.25,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.21,Nova Lacerda
degradacao,11,2022,Landsat-8,MT,0.20,Gaúcha do Norte
degradacao,11,2022,Landsat-8,AM,0.16,Lábrea
degradacao,11,2022,Landsat-8,AM,0.15,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.14,Nova Maringá
degradacao,11,2022,Landsat-8,MT,0.13,Vila Bela da Santíssima Trindade
degradacao,11,2022,Landsat-8,AM,0.13,Boca do Acre
degradacao,11,2022,Landsat-8,AM,0.13,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.12,Gaúcha do Norte
degradacao,11,2022,Landsat-8,MT,0.12,Gaúcha do Norte
degradacao,11,2022,Landsat-8,AM,0.11,Lábrea
degradacao,11,2022,Landsat-8,AM,0.09,Boca do Acre
degradacao,11,2022,Landsat-8,AM,0.09,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.08,Nova Maringá
degradacao,11,2022,Landsat-8,MT,0.07,Nova Lacerda
degradacao,11,2022,Landsat-8,MT,0.07,Gaúcha do Norte
degradacao,11,2022,Landsat-8,MT,0.06,Nova Lacerda
degradacao,11,2022,Landsat-8,MT,0.06,Nova Lacerda
degradacao,11,2022,Landsat-8,MT,0.05,Nova Maringá
degradacao,11,2022,Landsat-8,AM,0.05,Lábrea
degradacao,11,2022,Landsat-8,MT,0.05,Nova Maringá
degradacao,11,2022,Landsat-8,MT,0.05,Vila Bela da Santíssima Trindade
degradacao,11,2022,Landsat-8,AM,0.05,Lábrea
degradacao,11,2022,Landsat-8,MT,0.05,Nova Maringá
degradacao,11,2022,Landsat-8,MT,0.05,Nova Lacerda
degradacao,11,2022,Landsat-8,MT,0.04,Vila Bela da Santíssima Trindade
degradacao,11,2022,Landsat-8,TO,0.04,Pedro Afonso
degradacao,11,2022,Landsat-8,AM,0.04,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.04,Gaúcha do Norte
degradacao,11,2022,Landsat-8,AM,0.04,Lábrea
degradacao,11,2022,Landsat-8,MT,0.04,Vila Bela da Santíssima Trindade
degradacao,11,2022,Landsat-8,AM,0.03,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.03,Nova Maringá
degradacao,11,2022,Landsat-8,AM,0.03,Lábrea
degradacao,11,2022,Landsat-8,MT,0.03,Vila Bela da Santíssima Trindade
degradacao,11,2022,Landsat-8,AC,0.03,Senador Guiomard
degradacao,11,2022,Landsat-8,MT,0.03,Nova Lacerda
degradacao,11,2022,Landsat-8,MT,0.03,Paranatinga
degradacao,11,2022,Landsat-8,MT,0.03,Paranatinga
degradacao,11,2022,Landsat-8,MT,0.03,Vila Bela da Santíssima Trindade
degradacao,11,2022,Landsat-8,AM,0.03,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.03,Gaúcha do Norte
degradacao,11,2022,Landsat-8,MT,0.03,Nova Maringá
degradacao,11,2022,Landsat-8,AC,0.03,Acrelândia
degradacao,11,2022,Landsat-8,AM,0.03,Lábrea
degradacao,11,2022,Landsat-8,AM,0.03,Lábrea
degradacao,11,2022,Landsat-8,AM,0.02,Pauini
degradacao,11,2022,Landsat-8,AM,0.02,Lábrea
degradacao,11,2022,Landsat-8,AM,0.02,Lábrea
degradacao,11,2022,Landsat-8,AM,0.02,Humaitá
degradacao,11,2022,Landsat-8,RO,0.02,Porto Velho
degradacao,11,2022,Landsat-8,MT,0.02,Gaúcha do Norte
degradacao,11,2022,Landsat-8,MT,0.02,Gaúcha do Norte
degradacao,11,2022,Landsat-8,MT,0.02,Gaúcha do Norte
degradacao,11,2022,Landsat-8,AM,0.02,Lábrea
degradacao,11,2022,Landsat-8,AM,0.01,Boca do Acre
degradacao,11,2022,Landsat-8,MT,0.01,Gaúcha do Norte
degradacao,11,2022,Landsat-8,MT,0.01,Paranatinga
degradacao,11,2022,Landsat-8,AM,0.01,Lábrea
degradacao,11,2022,Landsat-8,AM,0.01,Lábrea
degradacao,11,2022,Landsat-8,MT,0.01,Aripuanã
degradacao,11,2022,Sentinel-1,TO,22.38,Dueré
degradacao,11,2022,Sentinel-1,MT,3.25,Novo São Joaquim
degradacao,11,2022,Sentinel-1,TO,1.01,Dueré
degradacao,11,2022,Sentinel-1,TO,0.57,Dueré
degradacao,11,2022,Sentinel-1,TO,0.13,Dueré
degradacao,11,2022,Sentinel-1,TO,0.13,Dueré
degradacao,11,2022,Sentinel-1,TO,0.05,Dueré
degradacao,11,2022,Sentinel-1,AM,0.04,Pauini
degradacao,11,2022,Sentinel-1,AC,0.03,Rio Branco
degradacao,11,2022,Sentinel-1,AC,0.02,Rio Branco
degradacao,11,2022,Sentinel-1,TO,0.02,Dueré
degradacao,11,2022,Sentinel-1,TO,0.02,Dueré
degradacao,11,2022,Sentinel-1,TO,0.01,Dueré
degradacao,11,2022,Sentinel-2,TO,76.04,Guaraí
degradacao,11,2022,Sentinel-2,PA,30.92,Cumaru do Norte
degradacao,11,2022,Sentinel-2,MT,18.59,Colniza
degradacao,11,2022,Sentinel-2,MT,18.57,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,16.84,Porto dos Gaúchos
degradacao,11,2022,Sentinel-2,MT,15.07,São Félix do Araguaia
degradacao,11,2022,Sentinel-2,MT,12.24,Querência
degradacao,11,2022,Sentinel-2,MT,12.15,Aripuanã
degradacao,11,2022,Sentinel-2,MT,10.33,Nova Ubiratã
degradacao,11,2022,Sentinel-2,MT,9.90,Marcelândia
degradacao,11,2022,Sentinel-2,MT,9.68,Nova Ubiratã
degradacao,11,2022,Sentinel-2,MT,8.90,Aripuanã
degradacao,11,2022,Sentinel-2,MT,8.34,Aripuanã
degradacao,11,2022,Sentinel-2,MT,6.29,Colniza
degradacao,11,2022,Sentinel-2,MT,5.82,Conquista D'Oeste
degradacao,11,2022,Sentinel-2,MT,5.70,Feliz Natal
degradacao,11,2022,Sentinel-2,MT,4.95,Aripuanã
degradacao,11,2022,Sentinel-2,AM,4.78,Lábrea
degradacao,11,2022,Sentinel-2,MT,4.71,Conquista D'Oeste
degradacao,11,2022,Sentinel-2,MT,4.64,Juína
degradacao,11,2022,Sentinel-2,MT,4.58,Colniza
degradacao,11,2022,Sentinel-2,MT,4.55,Marcelândia
degradacao,11,2022,Sentinel-2,MT,4.43,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,4.42,Querência
degradacao,11,2022,Sentinel-2,MT,4.32,Itaúba
degradacao,11,2022,Sentinel-2,MT,4.05,Querência
degradacao,11,2022,Sentinel-2,MT,3.86,Colniza
degradacao,11,2022,Sentinel-2,AM,3.66,Lábrea
degradacao,11,2022,Sentinel-2,MT,3.60,Paranaíta
degradacao,11,2022,Sentinel-2,AM,3.50,Lábrea
degradacao,11,2022,Sentinel-2,MT,3.38,Marcelândia
degradacao,11,2022,Sentinel-2,MT,0.02,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,RO,3.31,Alta Floresta D'Oeste
degradacao,11,2022,Sentinel-2,MT,3.30,Colniza
degradacao,11,2022,Sentinel-2,MT,3.16,Colniza
degradacao,11,2022,Sentinel-2,MT,3.13,Colniza
degradacao,11,2022,Sentinel-2,RO,3.07,Pimenta Bueno
degradacao,11,2022,Sentinel-2,PA,3.05,Santarém
degradacao,11,2022,Sentinel-2,RO,2.96,Pimenta Bueno
degradacao,11,2022,Sentinel-2,AM,2.93,Lábrea
degradacao,11,2022,Sentinel-2,TO,2.93,Guaraí
degradacao,11,2022,Sentinel-2,PA,2.86,Aveiro
degradacao,11,2022,Sentinel-2,MT,2.80,Guarantã do Norte
degradacao,11,2022,Sentinel-2,PA,2.78,Aveiro
degradacao,11,2022,Sentinel-2,MT,2.75,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,2.62,Conquista D'Oeste
degradacao,11,2022,Sentinel-2,MT,2.61,Guarantã do Norte
degradacao,11,2022,Sentinel-2,MT,2.52,Paranaíta
degradacao,11,2022,Sentinel-2,MT,2.52,Santa Carmem
degradacao,11,2022,Sentinel-2,RO,2.51,Parecis
degradacao,11,2022,Sentinel-2,MT,2.51,Aripuanã
degradacao,11,2022,Sentinel-2,MA,2.48,Jatobá
degradacao,11,2022,Sentinel-2,MT,2.44,Marcelândia
degradacao,11,2022,Sentinel-2,MT,2.42,Confresa
degradacao,11,2022,Sentinel-2,PA,2.36,Cumaru do Norte
degradacao,11,2022,Sentinel-2,MT,2.36,Querência
degradacao,11,2022,Sentinel-2,MT,2.18,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,PA,2.16,Santarém
degradacao,11,2022,Sentinel-2,MT,2.14,Colniza
degradacao,11,2022,Sentinel-2,TO,2.13,Guaraí
degradacao,11,2022,Sentinel-2,MT,2.12,União do Sul
degradacao,11,2022,Sentinel-2,MT,2.08,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,PA,2.01,Santarém
degradacao,11,2022,Sentinel-2,MT,1.95,Conquista D'Oeste
degradacao,11,2022,Sentinel-2,MT,1.93,Conquista D'Oeste
degradacao,11,2022,Sentinel-2,AM,1.92,Novo Aripuanã
degradacao,11,2022,Sentinel-2,MT,1.87,Feliz Natal
degradacao,11,2022,Sentinel-2,MT,1.86,Juara
degradacao,11,2022,Sentinel-2,RO,1.82,Pimenteiras do Oeste
degradacao,11,2022,Sentinel-2,MT,0.07,Juara
degradacao,11,2022,Sentinel-2,MT,1.67,Nova Bandeirantes
degradacao,11,2022,Sentinel-2,PA,1.74,Goianésia do Pará
degradacao,11,2022,Sentinel-2,MT,1.74,Colniza
degradacao,11,2022,Sentinel-2,MA,1.71,Jatobá
degradacao,11,2022,Sentinel-2,MT,1.67,Colniza
degradacao,11,2022,Sentinel-2,MT,1.66,Marcelândia
degradacao,11,2022,Sentinel-2,AM,1.65,Novo Aripuanã
degradacao,11,2022,Sentinel-2,MT,1.62,Feliz Natal
degradacao,11,2022,Sentinel-2,MT,1.60,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,1.60,Nova Lacerda
degradacao,11,2022,Sentinel-2,MT,1.59,Aripuanã
degradacao,11,2022,Sentinel-2,PA,1.57,Aveiro
degradacao,11,2022,Sentinel-2,PA,1.57,Moju
degradacao,11,2022,Sentinel-2,MT,1.57,Nova Ubiratã
degradacao,11,2022,Sentinel-2,MT,1.55,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,1.48,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,1.45,Juína
degradacao,11,2022,Sentinel-2,MT,1.44,Barra do Garças
degradacao,11,2022,Sentinel-2,MT,1.37,Marcelândia
degradacao,11,2022,Sentinel-2,MT,1.33,Querência
degradacao,11,2022,Sentinel-2,MT,1.32,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,1.32,Confresa
degradacao,11,2022,Sentinel-2,PA,1.32,Aveiro
degradacao,11,2022,Sentinel-2,MT,1.30,Nova Ubiratã
degradacao,11,2022,Sentinel-2,AM,1.29,Novo Aripuanã
degradacao,11,2022,Sentinel-2,AC,1.28,Rio Branco
degradacao,11,2022,Sentinel-2,PA,1.25,Cumaru do Norte
degradacao,11,2022,Sentinel-2,MT,1.24,União do Sul
degradacao,11,2022,Sentinel-2,MT,1.22,Itaúba
degradacao,11,2022,Sentinel-2,MT,1.20,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,AM,1.19,Novo Aripuanã
degradacao,11,2022,Sentinel-2,AM,1.18,Lábrea
degradacao,11,2022,Sentinel-2,PA,1.17,Aveiro
degradacao,11,2022,Sentinel-2,MT,1.12,Marcelândia
degradacao,11,2022,Sentinel-2,MT,1.06,Colniza
degradacao,11,2022,Sentinel-2,PA,1.04,Tomé-Açu
degradacao,11,2022,Sentinel-2,MT,1.04,Marcelândia
degradacao,11,2022,Sentinel-2,MT,1.03,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,AM,1.03,Lábrea
degradacao,11,2022,Sentinel-2,MT,1.02,São José do Xingu
degradacao,11,2022,Sentinel-2,MT,0.99,Guarantã do Norte
degradacao,11,2022,Sentinel-2,MT,0.98,Guarantã do Norte
degradacao,11,2022,Sentinel-2,AC,0.98,Rio Branco
degradacao,11,2022,Sentinel-2,MT,0.97,Marcelândia
degradacao,11,2022,Sentinel-2,PA,0.25,Novo Progresso
degradacao,11,2022,Sentinel-2,PA,0.72,Altamira
degradacao,11,2022,Sentinel-2,MT,0.96,União do Sul
degradacao,11,2022,Sentinel-2,MT,0.93,Nova Canaã do Norte
degradacao,11,2022,Sentinel-2,PA,0.90,Cumaru do Norte
degradacao,11,2022,Sentinel-2,PA,0.89,Dom Eliseu
degradacao,11,2022,Sentinel-2,MT,0.89,Colniza
degradacao,11,2022,Sentinel-2,MT,0.87,Colniza
degradacao,11,2022,Sentinel-2,MT,0.87,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,0.86,Marcelândia
degradacao,11,2022,Sentinel-2,MT,0.86,Guarantã do Norte
degradacao,11,2022,Sentinel-2,MT,0.85,Gaúcha do Norte
degradacao,11,2022,Sentinel-2,MT,0.83,Juína
degradacao,11,2022,Sentinel-2,MT,0.83,Aripuanã
degradacao,11,2022,Sentinel-2,PA,0.82,Piçarra
degradacao,11,2022,Sentinel-2,AC,0.81,Bujari
degradacao,11,2022,Sentinel-2,AC,0.80,Bujari
degradacao,11,2022,Sentinel-2,RO,0.79,Guajará-Mirim
degradacao,11,2022,Sentinel-2,MT,0.78,Guarantã do Norte
degradacao,11,2022,Sentinel-2,RO,0.78,Machadinho D'Oeste
degradacao,11,2022,Sentinel-2,AM,0.78,Novo Aripuanã
degradacao,11,2022,Sentinel-2,MT,0.77,Marcelândia
degradacao,11,2022,Sentinel-2,RO,0.77,Guajará-Mirim
degradacao,11,2022,Sentinel-2,MT,0.77,São Félix do Araguaia
degradacao,11,2022,Sentinel-2,MT,0.77,Marcelândia
degradacao,11,2022,Sentinel-2,AM,0.77,Novo Aripuanã
degradacao,11,2022,Sentinel-2,RO,0.76,Chupinguaia
degradacao,11,2022,Sentinel-2,MT,0.76,Marcelândia
degradacao,11,2022,Sentinel-2,MT,0.75,Nova Ubiratã
degradacao,11,2022,Sentinel-2,MT,0.75,Cotriguaçu
degradacao,11,2022,Sentinel-2,MT,0.75,Juína
degradacao,11,2022,Sentinel-2,PA,0.74,Aveiro
degradacao,11,2022,Sentinel-2,MT,0.74,Confresa
degradacao,11,2022,Sentinel-2,MT,0.74,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,AM,0.74,Lábrea
degradacao,11,2022,Sentinel-2,PA,0.74,Aveiro
degradacao,11,2022,Sentinel-2,MT,0.73,Porto dos Gaúchos
degradacao,11,2022,Sentinel-2,PA,0.73,Goianésia do Pará
degradacao,11,2022,Sentinel-2,MT,0.71,Ipiranga do Norte
degradacao,11,2022,Sentinel-2,MT,0.71,Colniza
degradacao,11,2022,Sentinel-2,PA,0.70,São Félix do Xingu
degradacao,11,2022,Sentinel-2,MT,0.69,São José do Xingu
degradacao,11,2022,Sentinel-2,AM,0.68,Manicoré
degradacao,11,2022,Sentinel-2,MT,0.68,Colniza
degradacao,11,2022,Sentinel-2,MT,0.68,Nova Ubiratã
degradacao,11,2022,Sentinel-2,MT,0.67,Juína
degradacao,11,2022,Sentinel-2,MT,0.67,Paranaíta
degradacao,11,2022,Sentinel-2,RO,0.67,Machadinho D'Oeste
degradacao,11,2022,Sentinel-2,AC,0.66,Bujari
degradacao,11,2022,Sentinel-2,MT,0.65,Apiacás
degradacao,11,2022,Sentinel-2,AM,0.64,Lábrea
degradacao,11,2022,Sentinel-2,PA,0.64,Jacareacanga
degradacao,11,2022,Sentinel-2,MT,0.64,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,0.63,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,0.63,Apiacás
degradacao,11,2022,Sentinel-2,AM,0.62,Lábrea
degradacao,11,2022,Sentinel-2,MT,0.61,Querência
degradacao,11,2022,Sentinel-2,AM,0.60,Lábrea
degradacao,11,2022,Sentinel-2,RO,0.60,Pimenteiras do Oeste
degradacao,11,2022,Sentinel-2,MT,0.59,Nova Lacerda
degradacao,11,2022,Sentinel-2,AC,0.59,Rio Branco
degradacao,11,2022,Sentinel-2,MT,0.58,Colniza
degradacao,11,2022,Sentinel-2,PA,0.58,Aveiro
degradacao,11,2022,Sentinel-2,MT,0.58,Juína
degradacao,11,2022,Sentinel-2,AM,0.57,Novo Aripuanã
degradacao,11,2022,Sentinel-2,AC,0.57,Rio Branco
degradacao,11,2022,Sentinel-2,RO,0.57,Machadinho D'Oeste
degradacao,11,2022,Sentinel-2,MT,0.57,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,PA,0.56,Santarém
degradacao,11,2022,Sentinel-2,MT,0.55,Colniza
degradacao,11,2022,Sentinel-2,MT,0.55,Nova Bandeirantes
degradacao,11,2022,Sentinel-2,AC,0.55,Rio Branco
degradacao,11,2022,Sentinel-2,PA,0.54,Dom Eliseu
degradacao,11,2022,Sentinel-2,MT,0.54,União do Sul
degradacao,11,2022,Sentinel-2,AM,0.54,Lábrea
degradacao,11,2022,Sentinel-2,AC,0.53,Rio Branco
degradacao,11,2022,Sentinel-2,AM,0.52,Lábrea
degradacao,11,2022,Sentinel-2,AM,0.52,Lábrea
degradacao,11,2022,Sentinel-2,MT,0.52,Gaúcha do Norte
degradacao,11,2022,Sentinel-2,PA,0.51,Aveiro
degradacao,11,2022,Sentinel-2,AM,0.51,Apuí
degradacao,11,2022,Sentinel-2,PA,0.51,Almeirim
degradacao,11,2022,Sentinel-2,MT,0.50,Querência
degradacao,11,2022,Sentinel-2,MT,0.50,Colniza
degradacao,11,2022,Sentinel-2,RO,0.50,Pimenteiras do Oeste
degradacao,11,2022,Sentinel-2,MT,0.50,Nova Lacerda
degradacao,11,2022,Sentinel-2,PA,0.49,São Félix do Xingu
degradacao,11,2022,Sentinel-2,MT,0.49,Feliz Natal
degradacao,11,2022,Sentinel-2,MT,0.49,Conquista D'Oeste
degradacao,11,2022,Sentinel-2,MT,0.48,Nova Ubiratã
degradacao,11,2022,Sentinel-2,MT,0.48,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,AM,0.47,Lábrea
degradacao,11,2022,Sentinel-2,PA,0.47,Cumaru do Norte
degradacao,11,2022,Sentinel-2,RO,0.46,Vilhena
degradacao,11,2022,Sentinel-2,AM,0.46,Lábrea
degradacao,11,2022,Sentinel-2,PA,0.46,Aveiro
degradacao,11,2022,Sentinel-2,MT,0.46,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,MT,0.44,Marcelândia
degradacao,11,2022,Sentinel-2,RO,0.44,Pimenta Bueno
degradacao,11,2022,Sentinel-2,RO,0.44,Pimenteiras do Oeste
degradacao,11,2022,Sentinel-2,MT,0.44,Marcelândia
degradacao,11,2022,Sentinel-2,AM,0.43,Lábrea
degradacao,11,2022,Sentinel-2,RO,0.43,Pimenteiras do Oeste
degradacao,11,2022,Sentinel-2,AM,0.43,Careiro
degradacao,11,2022,Sentinel-2,MT,0.42,Guarantã do Norte
degradacao,11,2022,Sentinel-2,AC,0.42,Xapuri
degradacao,11,2022,Sentinel-2,AM,0.41,Pauini
degradacao,11,2022,Sentinel-2,MT,0.41,Juína
degradacao,11,2022,Sentinel-2,MT,0.41,Guarantã do Norte
degradacao,11,2022,Sentinel-2,MT,0.40,Guarantã do Norte
degradacao,11,2022,Sentinel-2,AC,0.40,Porto Acre
degradacao,11,2022,Sentinel-2,AC,0.40,Rio Branco
degradacao,11,2022,Sentinel-2,AC,0.40,Rio Branco
degradacao,11,2022,Sentinel-2,MT,0.39,Juína
degradacao,11,2022,Sentinel-2,AC,0.39,Rio Branco
degradacao,11,2022,Sentinel-2,PA,0.39,São Félix do Xingu
degradacao,11,2022,Sentinel-2,MT,0.39,Vila Bela da Santíssima Trindade
degradacao,11,2022,Sentinel-2,PA,0.39,Dom Eliseu
degradacao,11,2022,Sentinel-2,MT,0.38,Juína
degradacao,11,2022,Sentinel-2,MT,0.38,Marcelândia
degradacao,11,2022,Sentinel-2,AC,0.38,Capixaba
degradacao,11,2022,Sentinel-2,MT,0.37,Colniza
degradacao,11,2022,Sentinel-2,MA,0.37,Jatobá
degradacao,11,2022,Sentinel-2,MT,0.37,União do Sul
degradacao,11,2022,Sentinel-2,MT,0.37,Nova Ubiratã
degradacao,11,2022,Sentinel-2,PA,0.37,Cametá
degradacao,11,2022,Sentinel-2,MT,0.37,Guarantã do Norte
degradacao,11,2022,Sentinel-2,AC,0.36,Sena Madureira
degradacao,11,2022,Sentinel-2,PA,0.34,Ipixuna do Pará
degradacao,11,2022,Sentinel-2,MT,0.34,Juína
degradacao,11,2022,Sentinel-2,RO,0.33,Porto Velho
degradacao,11,2022,Sentinel-2,AC,0.33,Rio Branco
degradacao,11,2022,Sentinel-2,AM,0.32,Boca do Acre
degradacao,11,2022,Sentinel-2,MT,0.32,Colniza
degradacao,11,2022,Sentinel-2,MT,0.32,Nova Ubiratã
degradacao,11,2022,Sentinel-2,AC,0.32,Rio Branco
degradacao,11,2022,Sentinel-2,AC,0.32,Sena Madureira
degradacao,11,2022,Sentinel-2,AM,0.31,Novo Aripuanã
degradacao,11,2022,Sentinel-2,PA,0.31,Goianésia do Pará
degradacao,11,2022,Sentinel-2,MT,0.31,Peixoto de Azevedo
degradacao,11,2022,Sentinel-2,RO,0.31,Pimenteiras do Oeste
degradacao,11,2022,Sentinel-2,AM,0.31,Lábrea
degradacao,11,2022,Sentinel-2,AC,0.31,Bujari
degradacao,11,2022,Sentinel-2,RO,0.30,Machadinho D'Oeste
degradacao,11,2022,Sentinel-2,PA,0.30,Ipixuna do Pará
degradacao,11,2022,Sentinel-2,MT,0.30,Colniza
degradacao,11,2022,Sentinel-2,MT,0.30,Guarantã do Norte
degradacao,11,2022,Sentinel-2,AC,0.30,Xapuri
degradacao,11,2022,Sentinel-2,RO,0.29,Pimenteiras do Oeste
degradacao,11,2022,Sentinel-2,MT,0.29,Nova Lacerda
degradacao,11,2022,Sentinel-2,AM,0.29,Novo Aripuanã
degradacao,11,2022,Sentinel-2,MT,0.29,Paranatinga
degradacao,11,2022,Sentinel-2,MT,0.29,Colniza
degradacao,11,2022,Sentinel-2,MT,0.28,Guarantã do Norte
degradacao,11,2022,Sentinel-2,MT,0.28,Colniza
degradacao,11,2022,Sentinel-2,AC,0.28,Rio Branco
degradacao,11,2022,Sentinel-2,MT,0.28,Querência
degradacao,11,2022,Sentinel-2,PA,0.28,Novo Progresso
degradacao,11,2022,Sentinel-2,RO,0.28,Pimenteiras do Oeste
degradacao,11,2022,Sentinel-2,PA,0.28,Ipixuna do Pará
degradacao,11,2022,Sentinel-2,MT,0.28,Querência
degradacao,11,2022,Sentinel-2,PA,0.28,Mojuí dos Campos
degradacao,11,2022,Sentinel-2,MT,0.27,Guarantã do Norte
degradacao,11,2022,Sentinel-2,AM,0.27,Canutama
degradacao,11,2022,Sentinel-2,MT,0.26,Colniza
degradacao,11,2022,Sentinel-2,AM,0.26,Novo Aripuanã
degradacao,11,2022,Sentinel-2,MT,0.26,Querência
degradacao,11,2022,Sentinel-2,MT,0.26,Juína
degradacao,11,2022,Sentinel-2,AC,0.26,Rio Branco
degradacao,11,2022,Sentinel-2,PA,0.25,São Félix do Xingu
degradacao,11,2022,Sentinel-2,PA,0.25,Ipixuna do Pará
degradacao,11,2022,Sentinel-2,RO,0.25,Porto Velho
degradacao,11,2022,Sentinel-2,AM,0.25,Lábrea
degradacao,11,2022,Sentinel-2,AC,0.25,Rio Branco
degradacao,11,2022,Sentinel-2,PA,0.25,Aveiro
degradacao,11,2022,Sentinel-2,MT,0.25,Juína
