ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UC,USO,JURISDICAO
desmatamento,7,2023,Sentinel-2,AC,0.05,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.05,Altamira,ESEC da Terra do Meio,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,RO,0.05,Candeias do Jamari,ESEC de Samuel,Proteção Integral,Estadual
desmatamento,7,2023,Sentinel-2,RO,0.05,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.05,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,RO,0.05,Candeias do Jamari,ESEC de Samuel,Proteção Integral,Estadual
desmatamento,7,2023,Sentinel-2,RO,0.05,Nova Mamoré,PES de Guajará-Mirim,Proteção Integral,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.05,Cruzeiro do Sul,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Tapauá,RDS Piagaçu-Purus,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,TO,0.05,Marianópolis do Tocantins,APA Leandro (Ilha do Bananal/Cantão),Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.05,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.05,Barcelos,PARNA do Jaú,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,AC,0.05,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,RO,0.05,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.05,Tarauacá,FES do Mogno,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.05,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.05,Novo Aripuanã,FLONA do Aripuanã,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.05,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.05,Sena Madureira,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.05,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.05,Lábrea,RESEX Médio Purus,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.05,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Barcelos,PARNA do Jaú,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Canutama,FLONA de Balata-Tufari,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.04,Oriximiná,FES de Faro,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Barcelos,PARNA do Jaú,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,PA,0.04,Curralinho,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Beruri,RDS Piagaçu-Purus,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Mâncio Lima,PARNA da Serra do Divisor,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,RO,0.04,Nova Mamoré,PES de Guajará-Mirim,Proteção Integral,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,MA,0.04,Santa Rita,APA Upaon-Açu/Miritiba/Alto Preguiças,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Jordão,RESEX do Alto Tarauacá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,RO,0.04,Nova Mamoré,PES de Guajará-Mirim,Proteção Integral,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Presidente Figueiredo,APA Caverna do Maroaga (Presidente Figueiredo),Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Cruzeiro do Sul,PARNA da Serra do Divisor,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Carauari,RESEX do Médio Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Carauari,RDS de Uacari,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Novo Airão,APA Margem Direita do Rio Negro,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Epitaciolândia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.04,Afuá,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Mâncio Lima,PARNA da Serra do Divisor,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Feijó,FLONA de Santa Rosa do Purus,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,MT,0.04,Colniza,RESEX Guariba-Roosevelt,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Boca do Acre,RESEX Arapixi,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Presidente Figueiredo,APA Caverna do Maroaga (Presidente Figueiredo),Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Mâncio Lima,PARNA da Serra do Divisor,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,AM,0.01,Iranduba,APA Margem Direita do Rio Negro,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,MA,0.04,São Luís,APA Upaon-Açu/Miritiba/Alto Preguiças,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Presidente Figueiredo,APA Caverna do Maroaga (Presidente Figueiredo),Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Iranduba,APA Margem Direita do Rio Negro,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Coari,RESEX Catuá-Ipixuna,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.04,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Cruzeiro do Sul,RESEX Riozinho da Liberdade,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Cruzeiro do Sul,ARIE Japiim-Pentecoste,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.04,Afuá,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Cruzeiro do Sul,PARNA da Serra do Divisor,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Boca do Acre,FLONA Mapiá-Inauini,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Mogno,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.04,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.04,Afuá,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,RO,0.04,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.04,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.02,Coari,RESEX Catuá-Ipixuna,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.04,Oriximiná,FLONA de Saracá-Taquera,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.04,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.04,Tarauacá,RESEX Riozinho da Liberdade,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.04,Coari,RESEX Catuá-Ipixuna,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Boca do Acre,FLONA Mapiá-Inauini,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Bujari,FES do Antimary,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,RO,0.03,Porto Velho,FLONA do Bom Futuro,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Carauari,RESEX do Médio Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,RO,0.03,Nova Mamoré,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Mâncio Lima,PARNA da Serra do Divisor,Proteção Integral,Federal
desmatamento,7,2023,Sentinel-2,MA,0.03,Presidente Juscelino,APA Upaon-Açu/Miritiba/Alto Preguiças,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Carauari,RESEX do Médio Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.03,Nhamundá,APA Guajuma,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.03,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,RO,0.03,Candeias do Jamari,ESEC de Samuel,Proteção Integral,Estadual
desmatamento,7,2023,Sentinel-2,RO,0.03,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Epitaciolândia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Marechal Thaumaturgo,RESEX Alto Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,RO,0.02,Porto Velho,FERS do Rio Madeira (C),Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Boca do Acre,RESEX Arapixi,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Sena Madureira,RESEX do Cazumbá-Iracema,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.03,Carauari,RDS de Uacari,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Alvarães,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.03,Breves,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Sena Madureira,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.03,Curralinho,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Bujari,FES do Antimary,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.03,Marabá,FLONA do Tapirapé-Aquiri,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Sena Madureira,RESEX do Cazumbá-Iracema,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.03,Afuá,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,PA,0.03,Breves,APA Arquipélago do Marajó,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,RO,0.03,Nova Mamoré,PES de Guajará-Mirim,Proteção Integral,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Epitaciolândia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Liberdade,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.01,Manoel Urbano,FES Afluente do Complexo do Seringal Jurupari,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AC,0.03,Sena Madureira,RESEX do Cazumbá-Iracema,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,PA,0.03,Altamira,FLONA de Altamira,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.03,Tefé,FLONA de Tefé,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AM,0.03,Novo Aripuanã,RDS do Rio Madeira,Uso Sustentável,Estadual
desmatamento,7,2023,Sentinel-2,AM,0.03,Carauari,RESEX do Médio Juruá,Uso Sustentável,Federal
desmatamento,7,2023,Sentinel-2,AC,0.03,Tarauacá,FES do Rio Gregório,Uso Sustentável,Estadual
