ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,TERRA_INDI
desmatamento,"2","2023",Landsat-8/Sentinel-1,AM,0.05,Boca do Acre,TI Apurinã km-124 BR-317
desmatamento,"2","2023",Sentinel-2,AM,0.34,Manicoré,TI Tenharim Marmelos (Gleba B)
desmatamento,"2","2023",Sentinel-2,AM,0.33,Manicoré,TI Tenharim Marmelos (Gleba B)
desmatamento,"2","2023",Sentinel-2,PA,0.17,São Félix do Xingu,TI Apyterewa
desmatamento,"2","2023",Sentinel-2,MT,0.17,Rondolândia,TI Zoró
desmatamento,"2","2023",Sentinel-2,MT,0.15,Rondolândia,TI Sete de Setembro
desmatamento,"2","2023",Sentinel-2,MT,0.10,Rondolândia,TI Sete de Setembro
desmatamento,"2","2023",Sentinel-2,AM,0.09,Manicoré,TI Tenharim Marmelos (Gleba B)
desmatamento,"2","2023",Sentinel-2,MT,0.07,Colniza,TI Piripkura
desmatamento,"2","2023",Sentinel-2,PA,0.03,Cumaru do Norte,TI Kayapó
desmatamento,"2","2023",Sentinel-2,PA,0.03,Cumaru do Norte,TI Kayapó
desmatamento,"2","2023",Sentinel-2,AM,0.03,São Gabriel da Cachoeira,TI Médio Rio Negro I
desmatamento,"2","2023",Sentinel-2,AM,0.02,Benjamin Constant,TI Sururuá
desmatamento,"2","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"2","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Landsat-9,RR,0.05,Caracaraí,TI Jacamim
desmatamento,"1","2023",Landsat-9,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"1","2023",Landsat-9,RR,0.03,Bonfim,TI Moskow
desmatamento,"1","2023",Landsat-8,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Landsat-8,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Landsat-8,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Landsat-8,RO,0.02,Nova Mamoré,TI Karipuna
desmatamento,"1","2023",Sentinel-2,RR,0.16,Amajari,TI Santa Inês
desmatamento,"1","2023",Sentinel-2,MT,0.06,Comodoro,TI Vale do Guaporé
desmatamento,"1","2023",Sentinel-2,RR,0.05,Bonfim,TI Moskow
desmatamento,"1","2023",Sentinel-2,MA,0.05,Montes Altos,TI Krikati
desmatamento,"1","2023",Sentinel-2,MT,0.05,Comodoro,TI Vale do Guaporé
desmatamento,"1","2023",Sentinel-2,RR,0.04,Amajari,TI Santa Inês
desmatamento,"1","2023",Sentinel-2,RR,0.03,Bonfim,TI Manoá/Pium
desmatamento,"1","2023",Sentinel-2,RR,0.03,Amajari,TI Santa Inês
desmatamento,"1","2023",Sentinel-2,AM,0.03,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.03,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.03,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,RR,0.02,Bonfim,TI Manoá/Pium
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,MT,0.02,Comodoro,TI Vale do Guaporé
desmatamento,"1","2023",Sentinel-2,AM,0.01,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,RR,0.01,Bonfim,TI Manoá/Pium
desmatamento,"1","2023",Sentinel-2,RR,0.01,Bonfim,TI Moskow
desmatamento,"1","2023",Sentinel-2,RR,0.01,Cantá,TI Malacacheta
desmatamento,"10","2022",Sentinel-1,PA,0.22,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.15,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-1,PA,0.09,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.05,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-1,AM,0.05,Atalaia do Norte,TI Vale do Javari
desmatamento,"10","2022",Sentinel-1,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.05,Jacareacanga,TI Mundurucu
desmatamento,"10","2022",Sentinel-1,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.04,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-1,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.03,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,AM,0.03,Tonantins,TI São Sebastião
desmatamento,"10","2022",Sentinel-1,PA,0.03,Senador José Porfírio,TI Arara da Volta Grande do Xingu
desmatamento,"10","2022",Sentinel-1,PA,0.02,Senador José Porfírio,TI Arara da Volta Grande do Xingu
desmatamento,"10","2022",Sentinel-1,PA,0.02,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-1,AM,0.02,São Gabriel da Cachoeira,TI Médio Rio Negro I
desmatamento,"10","2022",Sentinel-1,PA,0.01,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Landsat-9,MT,0.30,Feliz Natal,PI Xingu
desmatamento,"10","2022",Landsat-9,RO,0.20,Nova Mamoré,TI Igarapé Lage
desmatamento,"10","2022",Landsat-9,PA,0.13,Água Azul do Norte,TI Xikrin do Cateté
desmatamento,"10","2022",Landsat-9,RO,0.04,Nova Mamoré,TI Igarapé Lage
desmatamento,"10","2022",Landsat-9,AM,0.02,Manicoré,TI Tenharim/Marmelos
desmatamento,"10","2022",Landsat-9,PA,0.07,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,RO,0.02,Nova Mamoré,TI Igarapé Lage
desmatamento,"10","2022",Landsat-9,PA,0.06,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,RO,0.05,Alto Alegre dos Parecis,TI Rio Mequéns
desmatamento,"10","2022",Landsat-9,RO,0.04,Nova Mamoré,TI Igarapé Lage
desmatamento,"10","2022",Landsat-9,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,RO,0.04,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Landsat-9,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,RO,0.04,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Landsat-9,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,AM,0.03,São Gabriel da Cachoeira,TI Cué-Cué/Marabitanas
desmatamento,"10","2022",Landsat-9,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.03,Uruará,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,RO,0.03,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Landsat-9,RO,0.03,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Landsat-9,AC,0.01,Tarauacá,TI Igarapé do Caucho
desmatamento,"10","2022",Landsat-9,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.03,Uruará,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,RO,0.02,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Landsat-9,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"10","2022",Landsat-9,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,AM,0.02,São Gabriel da Cachoeira,TI Médio Rio Negro I
desmatamento,"10","2022",Landsat-9,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,AM,0.02,Jutaí,TI Estrela da Paz
desmatamento,"10","2022",Landsat-9,PA,0.02,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,RO,0.02,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Landsat-9,MT,0.02,Rondolândia,TI Sete de Setembro
desmatamento,"10","2022",Landsat-9,PA,0.01,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.01,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Landsat-9,PA,0.01,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.03,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.55,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,MA,0.42,Fernando Falcão,TI Porquinhos dos Canela-Apãnjekra (reestudo)
desmatamento,"10","2022",Sentinel-2,PA,0.34,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.34,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.34,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.31,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,MT,0.30,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,MT,0.03,Confresa,TI Urubu Branco
desmatamento,"10","2022",Sentinel-2,MT,0.27,Santa Terezinha,TI Urubu Branco
desmatamento,"10","2022",Sentinel-2,PA,0.27,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.01,Uruará,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.25,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.24,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,MT,0.24,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,AM,0.24,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"10","2022",Sentinel-2,PA,0.24,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,MA,0.22,Fernando Falcão,TI Porquinhos dos Canela-Apãnjekra (reestudo)
desmatamento,"10","2022",Sentinel-2,PA,0.22,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.22,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,MT,0.21,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,PA,0.20,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.20,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.20,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.20,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.20,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.19,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,MA,0.19,Grajaú,TI Bacurizinho  (reestudo)
desmatamento,"10","2022",Sentinel-2,PA,0.17,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.17,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,MT,0.17,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,PA,0.17,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.16,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,TO,0.16,Cachoeirinha,TI Apinayé
desmatamento,"10","2022",Sentinel-2,PA,0.16,Altamira,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.15,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.15,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.15,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.11,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.04,Uruará,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.14,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.14,Senador José Porfírio,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.14,Altamira,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,MA,0.14,Montes Altos,TI Krikati
desmatamento,"10","2022",Sentinel-2,AM,0.13,Careiro da Várzea,TI Sissaíma
desmatamento,"10","2022",Sentinel-2,PA,0.13,Senador José Porfírio,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.13,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.13,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.12,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.12,Altamira,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.12,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.11,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.11,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.11,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,RO,0.11,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Sentinel-2,PA,0.11,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.11,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.11,Jacareacanga,TI Mundurucu
desmatamento,"10","2022",Sentinel-2,MT,0.11,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,PA,0.11,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.11,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.11,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.10,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,AM,0.10,Careiro da Várzea,TI Sissaíma
desmatamento,"10","2022",Sentinel-2,RO,0.07,Cacoal,TI Sete de Setembro
desmatamento,"10","2022",Sentinel-2,PA,0.10,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.10,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.09,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"10","2022",Sentinel-2,PA,0.09,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.09,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.09,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.09,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.09,Placas,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.09,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.09,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.09,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.08,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.08,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.08,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.08,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,AM,0.08,Careiro da Várzea,TI Sissaíma
desmatamento,"10","2022",Sentinel-2,PA,0.08,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.08,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,RO,0.08,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Sentinel-2,PA,0.08,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.08,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.08,Altamira,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.08,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.07,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.08,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.07,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,RO,0.07,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Sentinel-2,PA,0.03,Senador José Porfírio,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,AM,0.07,Careiro da Várzea,TI Sissaíma
desmatamento,"10","2022",Sentinel-2,PA,0.07,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,MT,0.07,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,PA,0.07,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.07,Placas,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.06,Nova Esperança do Piriá,TI Alto Rio Guamá
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,Parauapebas,TI Xikrin do Cateté
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.06,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.06,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,AM,0.06,Lábrea,TI Paumari do Lago Marahã
desmatamento,"10","2022",Sentinel-2,PA,0.06,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,AM,0.05,Careiro da Várzea,TI Sissaíma
desmatamento,"10","2022",Sentinel-2,PA,0.05,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,Altamira,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,MT,0.05,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,Altamira,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,MA,0.05,Arame,TI Araribóia
desmatamento,"10","2022",Sentinel-2,PA,0.05,Altamira,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,RO,0.05,Nova Mamoré,TI Karipuna
desmatamento,"10","2022",Sentinel-2,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.05,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,Uruará,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,RO,0.05,Espigão D'Oeste,TI Roosevelt
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.05,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,MT,0.05,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,Uruará,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.05,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.05,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.05,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.05,Senador José Porfírio,TI Ituna/Itatá
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,MT,0.04,Brasnorte,TI Manoki
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,Placas,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,AM,0.04,Atalaia do Norte,TI Vale do Javari
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,Anapu,TI Trincheira/Bacajá
desmatamento,"10","2022",Sentinel-2,PA,0.04,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,PA,0.04,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-2,RO,0.04,Cacoal,TI Sete de Setembro
